2026-03-31 16:46:09,480 | INFO | mcp.server.streamable_http_manager | - | StreamableHTTP session manager started
2026-04-10 10:32:03,872 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: b21ab79252bb43f69bcd0392ec76903b
2026-04-10 10:32:04,766 | INFO | httpx | - | HTTP Request: GET http://0.0.0.0:1324/health "HTTP/1.1 200 OK"
2026-04-10 10:32:04,877 | INFO | mcp.server.streamable_http | - | Terminating session: b21ab79252bb43f69bcd0392ec76903b
2026-04-10 10:32:27,815 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 6df18edcfd4945fca5266836475906cf
2026-04-10 10:32:27,994 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:32:42,196 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:32:42,272 | INFO | mcp.server.streamable_http | - | Terminating session: 6df18edcfd4945fca5266836475906cf
2026-04-10 10:32:55,140 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 26a11d0181bc4afca00a0b7c7d99c9ec
2026-04-10 10:32:55,267 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:32:55,339 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:32:55,408 | INFO | mcp.server.streamable_http | - | Terminating session: 26a11d0181bc4afca00a0b7c7d99c9ec
2026-04-10 10:33:05,494 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: b4367f05ba664fc68e0f37dc4ef42613
2026-04-10 10:33:05,620 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:33:05,828 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:33:05,900 | INFO | mcp.server.streamable_http | - | Terminating session: b4367f05ba664fc68e0f37dc4ef42613
2026-04-10 10:33:14,764 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 96380e4f1bc0476586be8528f9ac6f82
2026-04-10 10:33:14,885 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:33:14,950 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:33:15,015 | INFO | mcp.server.streamable_http | - | Terminating session: 96380e4f1bc0476586be8528f9ac6f82
2026-04-10 10:33:47,029 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: c8c5c1367985485e9d94baf2a171468c
2026-04-10 10:33:47,147 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:33:47,219 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:33:47,384 | INFO | mcp.server.streamable_http | - | Terminating session: c8c5c1367985485e9d94baf2a171468c
2026-04-10 10:33:49,824 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 5ffc89b97e36475eb4287de083cdae49
2026-04-10 10:33:50,050 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:33:50,112 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:33:50,281 | INFO | mcp.server.streamable_http | - | Terminating session: 5ffc89b97e36475eb4287de083cdae49
2026-04-10 10:33:53,682 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 3003727b8cb54e0288703604223abe4f
2026-04-10 10:33:53,931 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:33:53,934 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:33:53,937 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:33:54,054 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:33:54,056 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
